import time: self [us] | cumulative | imported package
import time:       436 |        436 |                   thinc.shims.shim
import time:       435 |        870 |                 thinc.shims.mxnet
import time:       257 |        257 |                   thinc.shims.pytorch_grad_scaler
import time:       320 |        576 |                 thinc.shims.pytorch
import time:       355 |        355 |                 thinc.shims.tensorflow
import time:       268 |        268 |                 thinc.shims.torchscript
import time:       235 |       2302 |               thinc.shims
import time:      1597 |       4299 |             thinc.model
import time:       602 |       4900 |           thinc.layers.add
import time:       273 |        273 |           thinc.layers.array_getitem
import time:       348 |        348 |           thinc.layers.bidirectional
import time:       260 |        260 |           thinc.layers.cauchysimilarity
import time:       221 |        221 |           thinc.layers.chain
import time:       293 |        293 |             thinc.layers.dropout
import time:       418 |        418 |             thinc.layers.layernorm
import time:       255 |        965 |           thinc.layers.clipped_linear
import time:       234 |        234 |             thinc.layers.noop
import time:       159 |        393 |           thinc.layers.clone
import time:       435 |        435 |           thinc.layers.concatenate
import time:       195 |        195 |           thinc.layers.dish
import time:       229 |        229 |           thinc.layers.embed
import time:       186 |        186 |           thinc.layers.expand_window
import time:       193 |        193 |           thinc.layers.gelu
import time:       180 |        180 |           thinc.layers.hard_swish
import time:       324 |        324 |           thinc.layers.hard_swish_mobilenet
import time:       190 |        190 |           thinc.layers.hashembed
import time:       174 |        174 |           thinc.layers.linear
import time:       254 |        254 |           thinc.layers.list2array
import time:       215 |        215 |           thinc.layers.list2padded
import time:       147 |        147 |           thinc.layers.list2ragged
import time:       125 |        125 |           thinc.layers.logistic
import time:       222 |        222 |           thinc.layers.lstm
import time:       237 |        237 |           thinc.layers.map_list
import time:       206 |        206 |           thinc.layers.maxout
import time:       189 |        189 |           thinc.layers.mish
import time:       112 |        112 |           thinc.layers.multisoftmax
import time:       238 |        238 |           thinc.layers.mxnetwrapper
import time:       134 |        134 |           thinc.layers.padded2list
import time:       137 |        137 |           thinc.layers.parametricattention
import time:       274 |        274 |           thinc.layers.parametricattention_v2
import time:        41 |         41 |             thinc.layers.numpy
import time:        24 |         24 |             thinc.layers.typing
import time:      5591 |       5654 |           thinc.layers.premap_ids
import time:       782 |        782 |           thinc.layers.pytorchwrapper
import time:       211 |        211 |           thinc.layers.ragged2list
import time:       217 |        217 |           thinc.layers.reduce_first
import time:       139 |        139 |           thinc.layers.reduce_last
import time:       127 |        127 |           thinc.layers.reduce_max
import time:       120 |        120 |           thinc.layers.reduce_mean
import time:       116 |        116 |           thinc.layers.reduce_sum
import time:       254 |        254 |           thinc.layers.relu
import time:       384 |        384 |           thinc.layers.remap_ids
import time:       259 |        259 |           thinc.layers.residual
import time:       245 |        245 |           thinc.layers.resizable
import time:       183 |        183 |           thinc.layers.siamese
import time:       119 |        119 |           thinc.layers.sigmoid
import time:       155 |        155 |           thinc.layers.sigmoid_activation
import time:       115 |        115 |           thinc.layers.softmax
import time:      1388 |       1388 |           thinc.layers.softmax_activation
import time:        25 |         25 |             thinc.layers.typing
import time:      2105 |       2129 |           thinc.layers.sparselinear
import time:       168 |        168 |           thinc.layers.strings2arrays
import time:       131 |        131 |           thinc.layers.swish
